generator,acc,f1,auc,precision,recall
DynamicCrafter,0.8250478011472275,0.8846880907372401,0.8619722955145117,0.8468033775633294,0.9261213720316622
SVD,0.8171428571428572,0.8798498122653317,0.8634971265406441,0.8369047619047619,0.9274406332453826
ZeroScope,0.7915407854984894,0.8735491753207086,0.7932220758307715,0.8143507972665148,0.9420289855072463
