feature,fake_auc,gen_mean_auc,is_safe
normalized_temporal_variance,0.6882290554682189,0.5388847911720659,True
latent_smoothness,0.6882290372190207,0.5388847911720659,True
latent_std,0.6750033688019883,0.7657470569143597,False
object_latent_temporal_variance,0.6657856440419434,0.5585647035264588,True
latent_frame_distance_std,0.6606377277207949,0.5998160841308562,True
noise_residual_mean,0.6574611627863518,0.574023524570966,True
object_latent_entropy,0.6429451118135674,0.578431316808617,True
spatial_entropy,0.6382063972637297,0.6131044319212343,True
noise_spatial_correlation,0.6354202374264484,0.5579387883900152,True
trajectory_curvature_consistency,0.6269542153895926,0.5651825002518932,True
mahalanobis_distance,0.6229289532435103,0.5859157233635666,True
patch_similarity,0.6202421785396437,0.7387849530662636,False
latent_jerk_mean,0.6117045283998402,0.6277768231044824,True
ch3_variance,0.6115041522035688,0.5492478117138785,True
latent_kurtosis,0.6073487185267028,0.7558644489248073,False
noise_residual_energy,0.6052926178635416,0.8154891962557981,False
ch1_mean,0.602549818121191,0.5484127208357017,True
spatial_variance,0.6005132988477018,0.6636769088512154,True
ch1_variance,0.5932580198656392,0.747318525077111,False
channel_mutual_information,0.5784454559204486,0.8025468904478137,False
ch3_energy,0.5766814336745301,0.6158876156611494,True
patch_variance_std,0.5738494501005604,0.5349474544341216,True
spatial_autocorrelation,0.5735141575819726,0.600248695196207,True
ch0_variance,0.5699178063412607,0.711462550294446,False
ch3_mean,0.5624040092174509,0.5705660907003755,True
spectral_slope,0.560130889089257,0.7004253426796075,False
ch0_energy,0.5551207542145429,0.7311317126829385,False
channel_correlation_std,0.553092885061002,0.7446569452731495,False
latent_temporal_entropy,0.5524639629433241,0.532480133119103,True
nearest_neighbor_distance,0.5507619149745038,0.6152186375173497,True
gradient_magnitude_mean,0.5444023613878501,0.7333192009688932,False
ch2_energy,0.5422974076210987,0.6219375409984614,True
ch0_mean,0.5309723384493379,0.5597509734471823,True
channel_correlation_mean,0.53052156500452,0.6913249436783383,True
latent_skewness,0.5279328614917975,0.5683480998192157,True
object_motion_smoothness,0.5218708245834511,0.5488495503630851,True
object_latent_variance,0.5154349710991099,0.645547775766822,True
patch_entropy,0.5134049667893792,0.686112567635182,True
gradient_magnitude_std,0.5130864817823364,0.533716238444474,True
spectral_entropy,0.5117498557583374,0.7287706807046571,False
object_latent_motion_consistency,0.5060609784548507,0.5435696554781121,True
latent_density_score,0.5048718971983247,0.6201375036229038,True
ch2_variance,0.5017254069425205,0.6398757529996562,True
ch2_mean,0.5000035038460551,0.5503842404035081,True
