combo,n_dim,auc_DC,auc_Latte,auc_OSora,auc_Pika,auc_SEINE,auc_SVD,auc_VCraft,auc_ZS,auc_mean,auc_min,auc_std,acc_DC,acc_Latte,acc_OSora,acc_Pika,acc_SEINE,acc_SVD,acc_VCraft,acc_ZS,acc_mean,acc_min,acc_std,balacc_DC,balacc_Latte,balacc_OSora,balacc_Pika,balacc_SEINE,balacc_SVD,balacc_VCraft,balacc_ZS,balacc_mean,balacc_min,balacc_std,f1_DC,f1_Latte,f1_OSora,f1_Pika,f1_SEINE,f1_SVD,f1_VCraft,f1_ZS,f1_mean,f1_min,f1_std
eps,16,0.8321081262590516,0.8041311463980716,0.5629388205123519,0.48114025607972966,0.8400786094248892,0.6731317589912613,0.8018829349335449,0.6058685502993029,0.7001600253622754,0.48114025607972966,0.12969472988861927,0.752999478351591,0.74159231297186,0.5471204188481675,0.5356371490280778,0.7633737517831669,0.6410190427174473,0.7242957746478873,0.5930083386786401,0.6623807833783548,0.5356371490280778,0.08883764731094022,0.752999478351591,0.74159231297186,0.5471204188481675,0.5356371490280778,0.7633737517831669,0.6410190427174473,0.7242957746478873,0.5930083386786401,0.6623807833783548,0.5356371490280778,0.08883764731094022,0.7656520663202178,0.7395364925631269,0.4415752098127824,0.1845764854614412,0.7510785968861377,0.6978557504873294,0.7438665358194309,0.5291280148423005,0.6066586440240959,0.1845764854614412,0.19440690536793304
eps+physics,41,0.917447846724078,0.791153245002353,0.7334406037846186,0.6635948605753008,0.9210444982814443,0.8350344573298345,0.8960740676453085,0.68725100093356,0.8056300725345622,0.6635948605753008,0.0964863606651124,0.8369848721961398,0.7247769389155799,0.6759162303664922,0.6295896328293736,0.842546362339515,0.7604220277920741,0.8080985915492958,0.6391917896087236,0.7396908056996493,0.6295896328293736,0.08036382117085449,0.8369848721961398,0.7247769389155799,0.6759162303664921,0.6295896328293736,0.842546362339515,0.7604220277920741,0.8080985915492958,0.6391917896087236,0.7396908056996492,0.6295896328293736,0.0803638211708545,0.8415716096324461,0.7252483727303871,0.6783301576303482,0.5859154929577465,0.843133771540238,0.7653138391731787,0.8114839156001383,0.6056782334384858,0.7320844240878711,0.5859154929577465,0.0948736059648226
physics,25,0.8740187798869571,0.6584791240450922,0.7335906362215949,0.6255900391899534,0.8812036274854955,0.8512996096416423,0.886697207895259,0.6488538688432455,0.769966611651155,0.6255900391899534,0.10764941865564638,0.7913406364110589,0.6314344543582704,0.6746945898778359,0.593952483801296,0.8026034236804565,0.7766340710241894,0.801056338028169,0.6064785118665812,0.7097743136309822,0.593952483801296,0.08625933523239727,0.7913406364110589,0.6314344543582704,0.6746945898778359,0.5939524838012958,0.8026034236804565,0.7766340710241895,0.801056338028169,0.6064785118665812,0.7097743136309822,0.5939524838012958,0.08625933523239732,0.7906855049712193,0.6219640971488912,0.6826693905345591,0.6340038935756003,0.8052770448548813,0.7806973218797373,0.8026545581557807,0.6287443267776097,0.7183370172372848,0.6219640971488912,0.07865269594273805
z0,43,0.97293877447727,0.5829269415770975,0.843724313112762,0.6961583894022818,0.9690464101619655,0.9138554834396351,0.9243875223170004,0.7995865838901847,0.8378280522972746,0.5829269415770975,0.1300422634442375,0.9110589462702139,0.567433081674674,0.7609075043630017,0.6483081353491721,0.9088801711840229,0.8417395779722079,0.8526408450704225,0.7264271969211032,0.7771744323506022,0.567433081674674,0.11649740003708214,0.9110589462702139,0.567433081674674,0.7609075043630018,0.648308135349172,0.9088801711840229,0.8417395779722079,0.8526408450704226,0.7264271969211032,0.7771744323506022,0.567433081674674,0.11649740003708217,0.91231679094883,0.42482318046999773,0.74834680382072,0.6065243656866693,0.9092523530456402,0.8455937735375345,0.8516220528275128,0.7035106013208203,0.7502487402072157,0.42482318046999773,0.15798021537894244
z0+eps,59,0.97848669714922,0.6395839977313507,0.8242840565408478,0.7085057385473956,0.9736509744587414,0.9148424382073872,0.932418170997818,0.8224075810508291,0.8492724568354488,0.6395839977313507,0.11646331415190626,0.9251434533124674,0.5979752916952642,0.7504363001745201,0.660187185025198,0.9215406562054208,0.8412249099330932,0.8556338028169014,0.7450288646568313,0.7871463079774621,0.5979752916952642,0.11166125172922146,0.9251434533124674,0.5979752916952643,0.75043630017452,0.660187185025198,0.9215406562054209,0.8412249099330932,0.8556338028169015,0.7450288646568313,0.7871463079774621,0.5979752916952643,0.11166125172922146,0.9258589511754068,0.6554918394353771,0.753448275862069,0.5982978723404255,0.9223438051535475,0.8469362441081617,0.8563922942206655,0.731146432194792,0.7862394643113056,0.5982978723404255,0.11355119933384981
z0+eps+physics,84,0.979162091698552,0.6703632712453877,0.8488031212594682,0.7243320318391808,0.976718161440453,0.9371093138492321,0.9629462160285658,0.8247334581097322,0.8655209581838215,0.6703632712453877,0.11172490808836946,0.9243609806990088,0.6226835964310227,0.7656195462478185,0.6706263498920086,0.9210057061340942,0.8628409675759136,0.8950704225352113,0.7533675432969853,0.8019468891015078,0.6226835964310227,0.10874300770751189,0.924360980699009,0.6226835964310227,0.7656195462478185,0.6706263498920086,0.9210057061340942,0.8628409675759136,0.8950704225352113,0.7533675432969853,0.8019468891015079,0.6226835964310227,0.1087430077075119,0.925103305785124,0.606970509383378,0.7661500957687619,0.6508966043494849,0.9210760734010334,0.8653019964619661,0.8965995836224844,0.7383463763184757,0.7963055681363386,0.606970509383378,0.11631642431527368
z0+physics,68,0.9729287061459544,0.6250571755221404,0.8662230872082575,0.7076357433521949,0.9748656138265898,0.9310524948155737,0.9521154036897441,0.7951125723673627,0.8531238496159772,0.6250571755221404,0.12337167297024951,0.9115805946791862,0.605353466026081,0.7895287958115184,0.6555075593952484,0.9170827389443652,0.8628409675759136,0.8830985915492958,0.7241821680564464,0.7936468602547568,0.605353466026081,0.11253521074079642,0.9115805946791862,0.605353466026081,0.7895287958115184,0.6555075593952484,0.9170827389443652,0.8628409675759136,0.8830985915492957,0.7241821680564464,0.7936468602547568,0.605353466026081,0.11253521074079642,0.912831061969658,0.5452748121787268,0.7785530664708042,0.6370875995449374,0.9163819456932206,0.8642038216560509,0.8790968681718864,0.6921975662133143,0.7782033427373248,0.5452748121787268,0.1305565031779934
