threshold,n_features,n_dropped,holdout_fake_mean_auc,double_GenVideo_mean_auc,double_Kinetics_mean_auc,hf_DynamicCrafter,hf_SVD,hf_ZeroScope,dg_DynamicCrafter,dg_SVD,dg_ZeroScope,dk_DynamicCrafter,dk_SVD,dk_ZeroScope
1.0,69,0,0.8819914848002957,0.8751161542844862,0.7993578934114692,0.9343719863968956,0.9148186215143459,0.7967838464896455,0.9188699152616131,0.9379849942965475,0.7684935532952981,0.8673806053926353,0.8287593506155034,0.7019337242262687
0.8,69,0,0.8819914848002957,0.8751161542844862,0.7993578934114692,0.9343719863968956,0.9148186215143459,0.7967838464896455,0.9188699152616131,0.9379849942965475,0.7684935532952981,0.8673806053926353,0.8287593506155034,0.7019337242262687
0.75,68,1,0.8673486159044352,0.8521700619442728,0.8021796162947751,0.9256045781226541,0.9057082336195824,0.7707330359710692,0.8998698967315835,0.9227672926706801,0.7338729964305548,0.8729476905505311,0.8389148012313019,0.6946763571024922
0.7,68,1,0.8673486159044352,0.8521700619442728,0.8021796162947751,0.9256045781226541,0.9057082336195824,0.7707330359710692,0.8998698967315835,0.9227672926706801,0.7338729964305548,0.8729476905505311,0.8389148012313019,0.6946763571024922
0.65,62,7,0.8411363997427802,0.8243777264328939,0.7830211812736101,0.9052578135037282,0.8897770433619278,0.7283743423626846,0.8818072356583653,0.9057429898870591,0.685582953753257,0.8556712194227014,0.8292007538786667,0.664191570519462
0.6,56,13,0.8451479235188549,0.8446609231158737,0.7984207458385976,0.8987735844675704,0.8994790704209434,0.737191115668051,0.9003090022814397,0.9110826477094501,0.7225911193567311,0.8620135352703526,0.8630976211176757,0.670151081127764
