feature,source_auc,fake_auc,source_minus_fake
spatial_entropy,0.7841112240723513,0.6382063972637297,0.1459048268086216
normalized_temporal_variance,0.6727975681337344,0.6882290554682189,-0.015431487334484517
latent_smoothness,0.6727975681337344,0.6882290372190207,-0.015431469085286365
spectral_slope,0.6616187540749462,0.560130889089257,0.10148786498568918
edgeflow_align_diff_std_objmedian,0.6606062934960735,0.7314454562124358,-0.07083916271636237
latent_jerk_mean,0.6587776181139436,0.6117045283998402,0.0470730897141034
latent_frame_distance_std,0.6573196116262892,0.6606377277207949,-0.0033181160945057186
spectral_entropy,0.6478324488041263,0.5117498557583374,0.13608259304578885
mahalanobis_distance,0.6429907445052369,0.6229289532435103,0.02006179126172658
edgeflow_align_median_objmedian,0.639515802687128,0.5151919647758356,0.12432383791129242
noise_spatial_correlation,0.6381480913951841,0.6354202374264484,0.0027278539687357606
ch2_variance,0.6038809064878601,0.5017254069425205,0.10215549954533953
gradient_magnitude_std,0.6032580119591322,0.5130864817823364,0.0901715301767958
channel_correlation_mean,0.5902108305845484,0.53052156500452,0.059689265580028406
noise_residual_energy,0.5861687368935575,0.6052926178635416,-0.019123880969984075
latent_temporal_entropy,0.580097215191795,0.5524639629433241,0.027633252248470908
patch_variance_std,0.5784383770079018,0.5738494501005604,0.004588926907341362
psd_slope_diff_std_objspread,0.575132639847254,0.6398835898245976,-0.06475094997734354
ch2_energy,0.574984783440968,0.5422974076210987,0.03268737581986936
ch1_variance,0.5743031416877105,0.5932580198656392,-0.018954878177928736
channel_correlation_std,0.5710527518449238,0.553092885061002,0.017959866783921807
psd_slope_diff_std_objmedian,0.5682385779344792,0.5892183043545799,-0.02097972642010071
spatial_autocorrelation,0.5630242280511909,0.5735141575819726,-0.01048992953078165
edgeflow_align_diff_std_objspread,0.5615478778810453,0.6770210549029319,-0.11547317702188653
object_latent_variance,0.5589808692786489,0.5154349710991099,0.04354589817953902
trajectory_curvature_consistency,0.5529258727046479,0.6269542153895926,-0.07402834268494474
inside_out_dG_diffz_std_objmedian,0.5527816534078214,0.6388087485488237,-0.08602709514100237
ch3_mean,0.5524834104321471,0.5624040092174509,-0.009920598785303825
ch0_variance,0.5503394134734032,0.5699178063412607,-0.019578392867857453
orient_R_median_objmedian,0.5501987522184391,0.5393923542575233,0.010806397960915759
psd_slope_diff_median_objmedian,0.5468553788816457,0.6758574312778993,-0.12900205239625362
inside_out_dI_diffz_std_objmedian,0.5448026259297756,0.5968951763135335,-0.05209255038375793
nearest_neighbor_distance,0.5444801092018394,0.5507619149745038,-0.006281805772664351
hf_var_ratio_median_objmedian,0.5425711802088112,0.592775967295101,-0.050204787086289726
noise_residual_mean,0.5416840417710951,0.6574611627863518,-0.11577712101525672
inter_obj_corr_median,0.5377879068640636,0.5274579261085585,0.010329980755505175
latent_kurtosis,0.5371294319167108,0.6073487185267028,-0.070219286609992
object_latent_entropy,0.5338570612819735,0.6429451118135674,-0.10908805053159387
hf_var_ratio_std_objmedian,0.5328593072761323,0.5192233586525142,0.013635948623618055
inter_obj_corr_min,0.5328204850860326,0.5585610018138243,-0.02574051672779165
patch_entropy,0.5327971601449341,0.5134049667893792,0.019392193355554865
hf_var_ratio_std_objspread,0.5323194337241962,0.6266997485698469,-0.09438031484565068
object_motion_smoothness,0.5307939035087512,0.5218708245834511,0.008923078925300088
channel_mutual_information,0.5296616555205076,0.5784454559204486,-0.04878380039994101
valid_frac_objspread,0.5290302216913095,0.6046812149761388,-0.07565099328482927
object_latent_motion_consistency,0.5274264936224866,0.5060609784548507,0.021365515167635962
ch3_energy,0.5272322245367944,0.5766814336745301,-0.04944920913773565
edgeflow_align_median_objspread,0.526514686094524,0.5430039983263295,-0.016489312231805497
patch_similarity,0.5261646538428513,0.6202421785396437,-0.09407752469679243
latent_density_score,0.5252454930283728,0.5048718971983247,0.020373595830048052
latent_skewness,0.5219641086875838,0.5279328614917975,-0.005968752804213717
psd_slope_diff_median_objspread,0.5190855737532265,0.5571956880502499,-0.03811011429702338
inside_out_dG_diffz_std_objspread,0.5183290549856626,0.6171802733175116,-0.09885121833184896
object_latent_temporal_variance,0.5171667613105801,0.6657856440419434,-0.14861888273136326
ch3_variance,0.5147638970394404,0.6115041522035688,-0.09674025516412843
orient_phase_noise_objspread,0.5125890637178881,0.6073572226530656,-0.09476815893517743
ch0_energy,0.5124331424167138,0.5551207542145429,-0.042687611797829095
hf_var_ratio_median_objspread,0.5094879534981324,0.5836317685546167,-0.07414381505648437
spatial_variance,0.5086110147804221,0.6005132988477018,-0.09190228406727963
ch1_mean,0.5079843250070409,0.602549818121191,-0.09456549311415008
orient_R_median_objspread,0.5075998192831004,0.5911298348695753,-0.08353001558647488
gradient_magnitude_mean,0.5064142797345164,0.5444023613878501,-0.03798808165333378
inter_obj_pairs,0.505685434625883,0.6343028207712667,-0.12861738614538365
inside_out_dI_diffz_std_objspread,0.5056638491719172,0.6125495392734424,-0.10688569010152515
ch2_mean,0.5055202624158661,0.5000035038460551,0.005516758569811042
valid_frac_objmedian,0.5035694275964573,0.5280055662974391,-0.024436138700981824
ch0_mean,0.5034165108639669,0.5309723384493379,-0.027555827585371007
latent_std,0.5023547121046008,0.6750033688019883,-0.1726486566973875
orient_phase_noise_objmedian,0.5001643815340474,0.5633213234143345,-0.06315694188028709
