part,strategy,n_latent_feats,holdout_gen,auc,acc
feature_selection,all_latent,59,DC,0.9993020197344736,0.9890453834115805
feature_selection,all_latent,59,Latte,0.9563652091852786,0.8943850267379679
feature_selection,all_latent,59,OSora,0.9853465274160979,0.9413612565445026
feature_selection,all_latent,59,Pika,0.9388069688766151,0.875089992800576
feature_selection,all_latent,59,SEINE,0.9802638273019387,0.9210057061340942
feature_selection,all_latent,59,SVD,0.9909188771389649,0.9585692228512609
feature_selection,all_latent,59,VCraft,0.9972525292600675,0.9778169014084507
feature_selection,all_latent,59,ZS,0.9905068173748325,0.950288646568313
feature_selection,hard(g_mean<=0.60),20,DC,0.9942229547613548,0.9658320292123109
feature_selection,hard(g_mean<=0.60),20,Latte,0.9217647058823529,0.8524064171122995
feature_selection,hard(g_mean<=0.60),20,OSora,0.9805392761528833,0.9268760907504363
feature_selection,hard(g_mean<=0.60),20,Pika,0.948745180299183,0.8812095032397408
feature_selection,hard(g_mean<=0.60),20,SEINE,0.9441727580936953,0.8796362339514978
feature_selection,hard(g_mean<=0.60),20,SVD,0.9682145469080318,0.9055584148224395
feature_selection,hard(g_mean<=0.60),20,VCraft,0.9846059809561594,0.9345070422535211
feature_selection,hard(g_mean<=0.60),20,ZS,0.954069585403054,0.8822963438101347
feature_selection,hard(g_mean<=0.65),20,DC,0.9974959787901078,0.9799165362545644
feature_selection,hard(g_mean<=0.65),20,Latte,0.9533066430266809,0.8922459893048128
feature_selection,hard(g_mean<=0.65),20,OSora,0.9856223483152569,0.9394415357766143
feature_selection,hard(g_mean<=0.65),20,Pika,0.9436467544799438,0.8761699064074874
feature_selection,hard(g_mean<=0.65),20,SEINE,0.9592060506592376,0.8960413694721826
feature_selection,hard(g_mean<=0.65),20,SVD,0.977146937857609,0.925887802367473
feature_selection,hard(g_mean<=0.65),20,VCraft,0.9956602112676056,0.9705985915492957
feature_selection,hard(g_mean<=0.65),20,ZS,0.9804153992563611,0.9300833867864016
feature_selection,hard(g_mean<=0.70),20,DC,0.9975855053036977,0.9804381846635368
feature_selection,hard(g_mean<=0.70),20,Latte,0.9542360376333325,0.8901069518716578
