branch,dim,auc_DC,acc_DC,auc_Latte,acc_Latte,auc_OSora,acc_OSora,auc_Pika,acc_Pika,auc_SEINE,acc_SEINE,auc_SVD,acc_SVD,auc_VCraft,acc_VCraft,auc_ZS,acc_ZS,auc_mean,auc_min,acc_mean
all_combined,100,0.9990892241915335,0.99113197704747,0.9509794389316252,0.8847593582887701,0.9861537664964106,0.9418848167539267,0.9407242237035724,0.8768898488120951,0.9813154760572322,0.9229671897289586,0.9903884485500162,0.9567678847143593,0.9971501190240031,0.9772887323943662,0.9883957126182019,0.9518922386144965,0.9792745511965744,0.9407242237035724,0.9379477557943053
latent+csv,75,0.9991001088740368,0.9880020865936359,0.9547825216620436,0.8903743315508021,0.9830152073073045,0.9347294938917976,0.9205578024600365,0.8480921526277898,0.9756902331293587,0.9119115549215406,0.9882709723252691,0.949305198147195,0.9945252678040072,0.9654929577464789,0.9874740843479131,0.9435535599743425,0.9754270247387462,0.9205578024600365,0.9289326669316977
physics+csv,41,0.9926141986873618,0.9608763693270735,0.932541965741085,0.8606951871657754,0.9696687164399124,0.9078534031413612,0.945436244150144,0.8776097912167027,0.9279567501897636,0.864657631954351,0.9555208146535501,0.8847143592382913,0.9827316008728427,0.9320422535211268,0.9387689103514901,0.8588838999358563,0.9556549001357687,0.9279567501897636,0.8934166119375673
csv_only,16,0.9805215885432184,0.9298382889932185,0.9211258543281191,0.8446524064171123,0.9562190363933738,0.8835951134380454,0.9142589543160522,0.8329733621310296,0.875930312005877,0.8373751783166904,0.8950514257470169,0.8057128152341739,0.9492413459631024,0.8742957746478873,0.9127901020415299,0.8232841565105837,0.9256423274172861,0.875930312005877,0.8539658869610927
latent+physics,84,0.9825338942210227,0.9337506520605112,0.681959449798393,0.6366310160427807,0.8403978326617508,0.7670157068062827,0.7413292033829518,0.677825773938085,0.9814868610360987,0.9276034236804565,0.9367149027785983,0.8623262995367987,0.9567944108311843,0.8897887323943662,0.8175694440730044,0.7437459910198846,0.8673482498478755,0.681959449798393,0.8048359494348958
latent_only,59,0.9781179785294195,0.9256651017214398,0.6423510823872574,0.6013368983957219,0.8293172397199151,0.7586387434554974,0.7241257416469317,0.6727861771058316,0.9744448780120513,0.9210057061340942,0.9195578887644231,0.8445702521873392,0.9358645358063876,0.8559859154929578,0.8317115007276339,0.7623476587556126,0.8544363556992525,0.6423510823872574,0.7927920566560618
physics_only,25,0.8727636399357912,0.7916014606155451,0.6461548800366038,0.627807486631016,0.7335393462045693,0.6736474694589878,0.6302709606125678,0.5914326853851691,0.886291313000991,0.8104493580599144,0.8545521103376228,0.7748327328872877,0.8861407706804206,0.8007042253521127,0.6511657569016174,0.6119307248236049,0.7701098472137731,0.6302709606125678,0.7103007679017047
