variant,n_features,hf_DC,hf_SVD,hf_ZS,hf_mean,hr_GVR,hr_K400,dh_GVR_mean,dh_K400_mean,dh_K400_ZS,dh_mean
baseline,69,0.9343719863968956,0.9148186215143459,0.7967838464896455,0.8819914848002957,0.9587085825226361,0.8877884647765858,0.8751161542844862,0.7993578934114692,0.7019337242262687,0.8372370238479777
filtered,57,0.9095489521368236,0.890027199518625,0.8201890901430622,0.8732550805995037,0.942390532534974,0.8405222882248925,0.8749592715116382,0.7599710069568295,0.674055958507038,0.8174651392342339
