round,train_auc,test_auc,train_logloss,test_logloss
1,0.9241759311014603,0.8833698118241867,0.6384409780497629,0.6456217646298625
2,0.9479247368104745,0.9062354279751561,0.5904804576044679,0.6054995481321547
3,0.9531293021984232,0.9127736248550162,0.5500347098283727,0.5712227861549602
4,0.9580038370481069,0.9186704670432344,0.5144192601794597,0.541532622730964
5,0.9628635784525119,0.923773423856538,0.4848521582378959,0.5179223684204647
6,0.9658227474673569,0.9265928686056534,0.4565770435260899,0.49545622343758533
7,0.9679856967962271,0.9288178163530879,0.43390939794125394,0.4772214311840518
8,0.9699516962978214,0.9309553092551303,0.4115343040189937,0.45918600159712675
9,0.9723082315292435,0.9335361244577514,0.3933649247184722,0.444826234000424
10,0.9737415314020974,0.9354734605453099,0.3748743086291561,0.43002497538106865
11,0.9751239924331742,0.9370238471997743,0.3577775489539275,0.4170903716090273
12,0.9764695154130101,0.9383425846465105,0.34254707154069136,0.405758589281912
13,0.9777324973208851,0.9397663575320717,0.3292818059359107,0.3958507336221522
14,0.9788091494119634,0.9405344480746756,0.31650683070674224,0.38711414432522995
15,0.9797638000163964,0.9420054370031832,0.30444819634033227,0.3779432963490185
16,0.9806167625888731,0.9428204088139114,0.2935502717510692,0.37016182532459474
17,0.9815317228830409,0.9438787347338388,0.28377133547589967,0.3630434513842149
18,0.9822302480436556,0.9445017051730794,0.2744043627771296,0.3565225217086981
19,0.9831493355377015,0.945871262642629,0.2662060094543653,0.3503889502307407
20,0.983910478654321,0.9474122911047835,0.25767538312813887,0.3433499728905483
21,0.9845852685761067,0.9484449175911193,0.24976858051386003,0.3376893037736167
22,0.9852610311745271,0.9495175900073771,0.2423626353436587,0.3320411541936248
23,0.9858328904133256,0.9502543047982958,0.23555078167439297,0.32738801725857575
24,0.9863700132944645,0.9509238855911959,0.2291858024788885,0.3230087421455692
25,0.986974952247245,0.9518647473826441,0.22288723397472315,0.3184676424152647
26,0.9874737290921651,0.9525295021685858,0.21743383268946564,0.3151300250939808
27,0.9880407626159945,0.9530778437921084,0.2123085023059909,0.31238768756660146
28,0.988532652373088,0.9538816502932121,0.2070735879734355,0.3088753521049339
29,0.9889647968700221,0.9544685194959843,0.2024145362039233,0.30571063834318063
30,0.9894289090214815,0.9549875397939542,0.19810509435025278,0.3032439166335585
31,0.9898557240183891,0.9556062508352519,0.19350998031381142,0.3002869259193709
32,0.9901682344071421,0.9560016917170355,0.1896260262445561,0.29817755781518224
33,0.9905615853999152,0.9566866855051843,0.1856827315821909,0.29543071222600614
34,0.9909070832634557,0.9570819395577463,0.18190928141534748,0.2932400895623924
35,0.9912968965860957,0.9576774229784213,0.177980018666316,0.29043305880488646
36,0.9916290417681501,0.958151503982132,0.17429980200534378,0.28802730333523474
37,0.9919023062677862,0.9583357099615931,0.1709587742672592,0.286578673985086
38,0.9921545206504327,0.9589191707809145,0.16794883559268284,0.28423201351621663
39,0.9924677185563843,0.9592705390839172,0.1647450575214435,0.28255840844464697
40,0.9927779731441239,0.959857938937877,0.16153633132460804,0.2801133641189628
41,0.9930159225387672,0.9603581239723903,0.1586252512517155,0.27812100152060765
42,0.9932933196826206,0.9606704130423525,0.15581703271073036,0.2767912062629127
43,0.9935252937516642,0.960976612624328,0.15310234983989615,0.2753447718737124
44,0.9937529344852193,0.9611792620453148,0.1505545041667898,0.2741380718543381
45,0.994007215711609,0.9615581751267532,0.14772071633744469,0.27278848670597655
46,0.9942497835211527,0.9620333266595124,0.14501570616409556,0.27092960170276237
47,0.9944656899032813,0.9625342549225826,0.1425107842613545,0.2692017331461359
48,0.9946629130974469,0.9627376054018802,0.14018627656083782,0.2679449033488857
49,0.9948568467372647,0.963210504298056,0.13782644805620198,0.2661576928171252
50,0.9950539296285251,0.9633619432565305,0.13555631951103153,0.2654554855404026
51,0.9952298786708643,0.9637538851151722,0.1335401148896673,0.26405289299447676
52,0.9953898117751552,0.9639688078986459,0.13163609674559423,0.26302007561307134
53,0.9955609605773389,0.9642804883774548,0.1296224709092526,0.26192445750761023
54,0.9957263867322378,0.9646172985039463,0.1275450753551448,0.26074347413530774
55,0.9958996434050323,0.9649985258867723,0.12561711648839988,0.2596139002933353
56,0.9960552848547166,0.9654468154184783,0.12357869354360512,0.2579964715626636
57,0.9961937255874694,0.9656986527120989,0.12178417494317802,0.25682306681390604
58,0.9963337379501059,0.9659879287515742,0.12012042376547158,0.25577390438151393
59,0.9964730711995916,0.9660680441971792,0.11844306526831289,0.25547722610853124
60,0.9965935260805269,0.9662804939959599,0.11666052538340636,0.25440177820114745
61,0.9967225643881147,0.9666198693285669,0.11483152029895773,0.2530717000379602
62,0.9968457594398793,0.9669704933457928,0.11310662945783753,0.25175748237054885
63,0.9969619569421204,0.9671161322141753,0.1114398723720475,0.2511171976718483
64,0.997056564790208,0.9673534129015353,0.10997500122379904,0.250212893382732
65,0.9971755432435907,0.9675761418394674,0.10833056146577022,0.2495819929592737
66,0.9972781647121205,0.9677352860930745,0.1067671562122632,0.24915659478369478
67,0.9973668336995021,0.9680123214294566,0.10533472650003944,0.24810870674540228
68,0.9974437343278109,0.968103243795554,0.10405053140753505,0.24764190395529412
69,0.9975405108419868,0.9683647579624155,0.1025730570164656,0.2465683813948205
70,0.9976093404852959,0.9684828536906319,0.1012833118669293,0.2460654029741527
71,0.9977003903603211,0.9686453232427817,0.09988099993899392,0.24566064481051328
72,0.9977874694473641,0.9688039900560714,0.09849000074645034,0.2452455614708507
73,0.9978687031157889,0.9689539049119124,0.09713259206437617,0.2446956892138661
74,0.9979438907671428,0.9691708654752708,0.09588861138001613,0.2437749416993869
75,0.9980096304839541,0.9693762764375115,0.09460357305267225,0.24311351682098706
76,0.9980830679759746,0.9695127104228529,0.09329578130268662,0.24284305169460932
77,0.9981541337829927,0.9697506866116615,0.09217443366625921,0.24190829286000082
78,0.9982214078135059,0.9699718523779495,0.0909342558539391,0.2410984280149101
79,0.9982836518511216,0.9701084430365912,0.08982082260783468,0.24051389342878793
80,0.998345797830019,0.9702625444283552,0.0887623869607594,0.23990553732122621
81,0.9984095173244655,0.970484275654723,0.08746533855255001,0.23904102345938316
82,0.9984572665750697,0.9705870172021722,0.086402255927213,0.23873204564670591
83,0.9984992146509204,0.9707487032663299,0.08547479591941287,0.23829160400179897
84,0.9985484876232447,0.9709736171538879,0.08442107197904342,0.23747734148335634
85,0.9986034975644295,0.971137018495589,0.08333118403718327,0.23695329546626615
86,0.9986491656556641,0.9712971191411902,0.08226666353771188,0.23640023739715751
87,0.9986994413150244,0.9715515979791653,0.081288825281557,0.23539649156327808
88,0.9987476414673226,0.971762299376342,0.08027262922616661,0.23447528450589017
89,0.9987882287374013,0.9719054391591722,0.07939062845700834,0.23397549241401183
90,0.9988395800281105,0.9720640307940592,0.07837003687130295,0.2334202412281474
91,0.9988823000423084,0.9722097661013543,0.07738934239167519,0.23296100280458468
92,0.9989227374243219,0.9722933814447907,0.07645625714826094,0.23260412637812622
93,0.9989597522147485,0.9724637863822215,0.07556045312710064,0.23194058052569916
94,0.998999550644342,0.9726132472960132,0.07461646347819677,0.23149067897509357
95,0.9990331744613663,0.972762810494802,0.07375502628016858,0.23100072615529585
96,0.9990680100032083,0.9728560794203643,0.07290273979307937,0.2306985319006073
97,0.9990961084525817,0.9729379736250736,0.0721343119019351,0.23036950139275883
98,0.9991250342772683,0.9730843287355073,0.07130542988543694,0.2296413142297942
99,0.9991523624986116,0.973203788521387,0.07061658358950781,0.229100534849481
100,0.9991855918043898,0.9734046065832287,0.06974676810599464,0.22843545790017264
101,0.9992223063385341,0.9734792360048972,0.06886157423301312,0.2284091139102879
102,0.999247145779881,0.9735479544008918,0.06813129056737904,0.22809125464327287
103,0.9992694288096958,0.9737231213072223,0.06740245358620352,0.2273824923675865
104,0.9992958167217496,0.9738809389872369,0.06663925118093814,0.22682563711482803
105,0.9993185564423899,0.9739668127562455,0.06587465870899195,0.22662495885074654
106,0.9993369046202158,0.9740974517413687,0.0652378506087691,0.22615172569914085
107,0.999362518563051,0.9741678472778107,0.06447827804257239,0.22602617483809379
108,0.9993828108745051,0.9742467838172825,0.06382357733695529,0.2256973443141241
109,0.9994067250339091,0.9743654869306269,0.06313733477270603,0.22516487943974894
110,0.999428594377063,0.9744231641207053,0.062420606891508634,0.22490596486702308
111,0.9994453536364775,0.9744766268103509,0.06177955518113581,0.2248795419156114
112,0.9994631030942184,0.9744572068926651,0.06111197730157583,0.22522168374557977
113,0.9994803913727351,0.9745513678955332,0.06051090216020075,0.22491917675202122
114,0.9994991113843931,0.9746551137502047,0.05987395362755878,0.22464944892398753
115,0.9995136539083626,0.9747700908569086,0.059295952075371194,0.22403619291014767
116,0.9995314631321089,0.9747241139214198,0.058641017721247746,0.22435242206718425
117,0.9995492540927438,0.974824091953606,0.0580329181378716,0.22402603024288262
118,0.999563360631206,0.9749388273681696,0.057432354270790034,0.22358647631848003
119,0.9995761222998186,0.9750669827575369,0.05686205663107595,0.22298184150607447
120,0.9995922522901851,0.9751484880053601,0.056265911856123015,0.2228145709443054
121,0.9996059817087715,0.975175580529953,0.05560860771084212,0.22278239944677986
122,0.9996213616613917,0.9752282809447228,0.055031559162572345,0.22273766351087218
123,0.9996328396419221,0.9753217577598894,0.05456454728113052,0.22247488870789567
124,0.9996453788747398,0.9753370297439424,0.05401814202827847,0.22249985055185925
125,0.9996559355448732,0.9754147650518153,0.05352192895875803,0.22225592220509324
126,0.999668604845717,0.9755009411634142,0.05298334453857882,0.22186241987098382
127,0.9996803372626273,0.9755440811465599,0.05242155826638308,0.22185002932967238
128,0.999692938176933,0.9755887840331577,0.05190236463982198,0.22174620184935004
129,0.9997030869126086,0.9756796901834517,0.051403589023835856,0.2215116879199563
130,0.9997131672303553,0.97573169791076,0.050899486481596035,0.22134284555990916
131,0.9997227771194339,0.9756988273967651,0.050409899935409515,0.22160666362728498
132,0.9997338894984313,0.9757312068538059,0.049870714820048165,0.22155410229099265
133,0.9997430360762282,0.9758272256916772,0.049388093938274785,0.2212088143517294
134,0.9997533432049825,0.9759138244027736,0.04889083427966363,0.22074303613567692
135,0.9997604966009963,0.9760232920380648,0.04851893858833785,0.22023697900519984
136,0.9997689616659569,0.9761262498310821,0.04807708361597579,0.21982954950317468
137,0.9997768100773651,0.9761827734022328,0.047654471485247984,0.2195225459800936
138,0.9997848745275093,0.9763429139104371,0.047165145050861446,0.21896907666707105
139,0.999792991591275,0.976379141022378,0.04666857227161813,0.2190737378013762
