fraction,n_train,mean_auc,min_auc
0.2,6031,0.9727196782759249,0.9477660213331808
0.4,12063,0.9777439974715159,0.9506772071625198
0.6,18094,0.9794354375455324,0.9533048155283647
0.8,24126,0.9805498759344694,0.9545609569376999
1.0,30158,0.9814961150225394,0.957661270467693
