model,n_features,auc_mean,auc_min,accuracy,bal_accuracy,f1,DC,Latte,OSora,Pika,SEINE,SVD,VCraft,ZS
XGBoost,74,0.9717799013319675,0.9429125583560225,0.9131320183859895,0.9131320183859895,0.9159157467898176,0.996220838234842,0.9439626526351912,0.9808986717591197,0.9429125583560225,0.9557507514229723,0.9779725787623545,0.9928640150763738,0.9836571444088638
XGBoost (scale_pos_weight),74,0.9741224080404856,0.9451169608375174,0.9144702391342293,0.9144702391342293,0.917725415570605,0.9968439863081578,0.9484178844119078,0.9832996780668172,0.9451169608375174,0.9593486912928546,0.9794633413584111,0.9942884596310256,0.9862002624171924
GradientBoosting,74,0.9690309001233667,0.9380251079527582,0.9078373189038227,0.9078373189038227,0.9107806691449815,0.9948972608424363,0.9380251079527582,0.9785658897020976,0.9409911569925377,0.9512710851219269,0.9741444868934475,0.9923934983138266,0.9819587151679028
RandomForest,74,0.9381792226044705,0.8940067531405104,0.8677779717228138,0.8677779717228138,0.868721296323041,0.9753791202945178,0.8962981497898137,0.9389012849915784,0.9347205571286478,0.8940067531405104,0.9488942318771556,0.9723026185280699,0.9449310650854706
LogisticRegression,74,0.9160099237173192,0.829582487345935,0.8471810089020771,0.8471810089020771,0.852082336045955,0.9805294799380335,0.829582487345935,0.9374855099610452,0.8433666559375035,0.8707370609746419,0.9433629410934219,0.9680528416980756,0.9549624127898962
