gen,train,test,gap
DC,0.9999999999999998,0.9984116527057008,0.0015883472942990196
Latte,1.0,0.9596953015528039,0.040304698447196086
OSora,1.0,0.9891741515370254,0.01082584846297463
Pika,1.0,0.9580544139622177,0.04194558603778231
SEINE,1.0,0.9729950056064192,0.02700499439358084
SVD,1.0,0.986207267388191,0.013792732611809022
VCraft,1.0,0.9961022118627256,0.0038977881372743717
ZS,1.0,0.9915481750320204,0.008451824967979582
