seed,mean_auc,min_auc
42,0.981523522455888,0.9580544139622177
7,0.9811760771577994,0.9540856601882215
123,0.9813888067750882,0.9554936684978809
2024,0.981329896710128,0.9550427326505024
9999,0.981351092648673,0.955132401502912
