generator,TP,TN,FP,FN,accuracy,f1,TPR,TNR,FPR,FNR,threshold
DC,1892,1900,17,25,0.9890453834115805,0.989022477783586,0.9869587897756907,0.9911319770474696,0.00886802295252999,0.01304121022430881,0.25787976384162903
Latte,1662,1672,198,208,0.8914438502673797,0.8911528150134048,0.8887700534759354,0.8941176470588231,0.10588235294117641,0.11122994652406412,0.8735462427139282
OSora,2648,2751,114,217,0.9422338568935428,0.9411764705882353,0.9242582897033156,0.9602094240837693,0.03979057591623036,0.0757417102966841,0.797076404094696
Pika,1203,1228,161,186,0.875089992800576,0.8739556847075918,0.86609071274298,0.8840892728581707,0.11591072714182858,0.13390928725701934,0.9151549935340881
SEINE,2590,2575,229,214,0.9210057061340942,0.9212164325093366,0.9236804564907273,0.9183309557774605,0.0816690442225392,0.07631954350927245,0.7876779437065125
SVD,1874,1840,103,69,0.9557385486361297,0.9561224489795919,0.9644879053010803,0.9469891919711781,0.05301080802882138,0.03551209469891918,0.6220796704292297
VCraft,2760,2794,46,80,0.9778169014084507,0.9776833156216791,0.9718309859154927,0.9838028169014081,0.016197183098591545,0.028169014084507032,0.5702882409095764
ZS,1450,1513,46,109,0.950288646568313,0.9492635024549918,0.930083386786401,0.9704939063502239,0.02950609364977548,0.06991661321359842,0.7845975756645203
