config,DC,Latte,OSora,Pika,SEINE,SVD,VCraft,ZS,mean,min
z0+eps+physics+csv,0.999321929711984,0.9605882946786061,0.9860851304886115,0.943951521481381,0.9793295790549772,0.9889177711292172,0.9975081191328952,0.9912375178385762,0.980867482939531,0.943951521481381
eps+physics+csv,0.9982057537525999,0.986796378657566,0.9779961208344031,0.9480454623884529,0.9734505232300508,0.9804388684070047,0.993714102885944,0.9829818915699136,0.9802036377157418,0.9480454623884529
z0+eps+csv,0.999392661786049,0.9622988443599735,0.9828213246446871,0.9369476584312234,0.9735009286355424,0.9862272529645661,0.9952947108908756,0.9905345027540627,0.9783772355583724,0.9369476584312234
csv,0.9761254250071101,0.9267454181985415,0.9595114042797621,0.9237272432253181,0.841062156902886,0.8900124549168134,0.9500832198911654,0.912136573770329,0.9224254870239907,0.841062156902886
z0+eps+physics,0.9831355270193471,0.6615044572377312,0.860053926875869,0.7668183678348865,0.9811367340668407,0.9358601544189306,0.9646682433447535,0.8377375437214906,0.8738643693149811,0.6615044572377312
