threshold,accuracy,balanced_accuracy,f1,precision,recall,auc,tp,tn,fp,fn,fpr,fnr,config,feature_set,model,threshold_strategy,holdout_gen
0.5,0.7920298879202988,0.758120293331561,0.6932966023875115,0.855039637599094,0.583011583011583,0.8870790307410026,755,1789,128,540,0.0667709963484611,0.4169884169884167,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,default(0.5),DC
0.27344492685137406,0.7991905354919053,0.8063373232387316,0.7720042417815483,0.711864406779661,0.8432432432432433,0.8870790307410026,1092,1475,442,203,0.23056859676577976,0.15675675675675665,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,youden,DC
0.2799999999999999,0.7991905354919053,0.8050845614225896,0.7703809184763261,0.714663143989432,0.8355212355212355,0.8870790307410026,1082,1485,432,213,0.22535211267605623,0.16447876447876436,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-f1,DC
0.2799999999999999,0.7991905354919053,0.8050845614225896,0.7703809184763261,0.714663143989432,0.8355212355212355,0.8870790307410026,1082,1485,432,213,0.22535211267605623,0.16447876447876436,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-balacc,DC
0.34999999999999987,0.8091531755915318,0.8022813558024826,0.7641400538668719,0.7615030674846626,0.7667953667953668,0.8870790307410026,993,1606,311,302,0.1622326551904016,0.23320463320463303,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-acc,DC
0.5,0.7565379825653799,0.7157334396771017,0.6258373205741626,0.8226415094339623,0.505019305019305,0.8388952332614305,654,1776,141,641,0.07355242566510169,0.49498069498069464,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,default(0.5),DC
0.3187413106059344,0.7649439601494396,0.7639915569493034,0.7225284821756707,0.6893408134642356,0.759073359073359,0.8388952332614305,983,1474,443,312,0.2310902451747521,0.24092664092664076,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,youden,DC
0.29999999999999993,0.7562266500622665,0.7609478693985736,0.7220447284345048,0.6681997371879106,0.7853281853281854,0.8388952332614305,1017,1412,505,278,0.263432446531038,0.2146718146718145,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,max-f1,DC
0.3199999999999999,0.7640099626400996,0.7627079796093881,0.7209131075110456,0.6889514426460239,0.7559845559845559,0.8388952332614305,979,1475,442,316,0.23056859676577976,0.24401544401544384,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,max-balacc,DC
0.3999999999999998,0.7724159402241594,0.751961015341297,0.6960498960498961,0.754054054054054,0.6463320463320463,0.8388952332614305,837,1644,273,458,0.14241001564945222,0.3536679536679534,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,max-acc,DC
0.5,0.687733499377335,0.6151215601919827,0.38276923076923075,0.9424242424242424,0.24015444015444015,0.8670090613752586,311,1898,19,984,0.009911319770474694,0.7598455598455593,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,default(0.5),DC
0.3211382517995125,0.789227895392279,0.7904743777983214,0.7530098504195549,0.7136929460580913,0.7969111969111969,0.8670090613752586,1032,1503,414,263,0.2159624413145539,0.20308880308880295,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,youden,DC
0.29999999999999993,0.773972602739726,0.7857116674018082,0.7511994516792323,0.6752926678989526,0.8463320463320463,0.8670090613752586,1096,1390,527,199,0.2749087115284297,0.15366795366795355,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,max-f1,DC
0.3199999999999999,0.7864259028642591,0.7882522361395601,0.7507267441860465,0.7089910775566232,0.7976833976833977,0.8670090613752586,1033,1493,424,262,0.22117892540427742,0.20231660231660217,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,max-balacc,DC
0.32999999999999985,0.7895392278953923,0.786099983283082,0.746436609152288,0.7257476294675419,0.7683397683397684,0.8670090613752586,995,1541,376,300,0.1961398017736045,0.2316602316602315,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,max-acc,DC
