config,feature_set,model,threshold_strategy,accuracy_DC,accuracy_Pika,accuracy_SVD,accuracy_ZS,accuracy_mean,accuracy_min,balanced_accuracy_DC,balanced_accuracy_Pika,balanced_accuracy_SVD,balanced_accuracy_ZS,balanced_accuracy_mean,balanced_accuracy_min,f1_DC,f1_Pika,f1_SVD,f1_ZS,f1_mean,f1_min,auc_DC,auc_Pika,auc_SVD,auc_ZS,auc_mean,auc_min,threshold_mean
B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),default(0.5),0.7929638854296388,0.6188524590163934,0.7665225447807289,0.6611772950245269,0.7098790460628219,0.6188524590163934,0.7561466899495068,0.6193119685560291,0.7355353441817672,0.6593972970496382,0.6925978249342353,0.6193119685560291,0.687939934303144,0.6155580608793687,0.6654867256637168,0.6316190476190476,0.6501509421163193,0.6155580608793687,0.8890544468009258,0.6576960175232313,0.8440838014692879,0.7185127581535535,0.7773367559867497,0.6576960175232313,0.5
B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-acc,0.8138231631382317,0.6214605067064084,0.7739345274861026,0.6671338472319551,0.7190880111406744,0.6214605067064084,0.8040640237823337,0.6209695039068689,0.7629578111307396,0.6552383594076987,0.7108074245569103,0.6209695039068689,0.7654901960784314,0.60741885625966,0.7147310989867498,0.5894554883318929,0.6692739099141835,0.5894554883318929,0.8890544468009258,0.6576960175232313,0.8440838014692879,0.7185127581535535,0.7773367559867497,0.6576960175232313,0.4724999999999998
B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-balacc,0.8094645080946451,0.6195976154992549,0.7730080296479308,0.6538192011212334,0.713972338590766,0.6195976154992549,0.8071773987266945,0.6213644993342617,0.7699117910646475,0.6617503052397216,0.7150509985913314,0.6213644993342617,0.7709580838323353,0.6302064469395147,0.7266641874302715,0.6621067031463749,0.6974838553371242,0.6302064469395147,0.8890544468009258,0.6576960175232313,0.8440838014692879,0.7185127581535535,0.7773367559867497,0.6576960175232313,0.39749999999999985
B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-f1,0.8094645080946451,0.551043219076006,0.7730080296479308,0.6394533987386125,0.6932422888892985,0.551043219076006,0.8071773987266945,0.5638830746822108,0.7699117910646475,0.6531122068646122,0.6985211178345413,0.5638830746822108,0.7709580838323353,0.6666666666666666,0.7266641874302715,0.6683854334514986,0.7081685928451931,0.6666666666666666,0.8890544468009258,0.6576960175232313,0.8440838014692879,0.7185127581535535,0.7773367559867497,0.6576960175232313,0.3199999999999999
B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),youden,0.8097758405977584,0.6210879284649776,0.7730080296479308,0.6555711282410652,0.714860731737933,0.6210879284649776,0.8075634991127949,0.6231179343490358,0.7708131556304485,0.6628962234478591,0.7160977031350346,0.6231179343490358,0.7714178825289937,0.6343042071197411,0.7280799112097669,0.6616179001721171,0.6988549752576547,0.6343042071197411,0.8890544468009258,0.6576960175232313,0.8440838014692879,0.7185127581535535,0.7773367559867497,0.6576960175232313,0.396481111771095
B: z0+eps+physics,safe_max(g<=0.65),bn-GB,default(0.5),0.7920298879202988,0.6005961251862891,0.7699197035206918,0.6653819201121234,0.7069819091848508,0.6005961251862891,0.758120293331561,0.6020914465838871,0.7418427102935595,0.6644227935440251,0.6916193109382582,0.6020914465838871,0.6932966023875115,0.6090444930707513,0.6765089014329136,0.6394865987164968,0.6545841489019184,0.6090444930707513,0.8870790307410026,0.6359381905818191,0.8424201718077169,0.7252723629888478,0.7726774390298466,0.6359381905818191,0.5
B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-acc,0.8091531755915318,0.6028315946348733,0.7720815318097591,0.6657323055360898,0.7124496518930636,0.6028315946348733,0.8022813558024826,0.6010896425583251,0.7603836760810512,0.6698433061486301,0.7083994951476222,0.6010896425583251,0.7641400538668719,0.5725741780272654,0.7112676056338029,0.6597717546362339,0.6769383980410436,0.5725741780272654,0.8870790307410026,0.6359381905818191,0.8424201718077169,0.7252723629888478,0.7726774390298466,0.6359381905818191,0.44999999999999984
B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-balacc,0.7991905354919053,0.5998509687034277,0.7621988882025942,0.6657323055360898,0.7067431744835042,0.5998509687034277,0.8050845614225896,0.6032266762288361,0.763222894977913,0.6698433061486301,0.7103443596944922,0.6032266762288361,0.7703809184763261,0.6278586278586279,0.7210144927536232,0.6597717546362339,0.6947564484312028,0.6278586278586279,0.8870790307410026,0.6359381905818191,0.8424201718077169,0.7252723629888478,0.7726774390298466,0.6359381905818191,0.38749999999999984
B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-f1,0.7991905354919053,0.5439642324888226,0.7621988882025942,0.6240364400840925,0.6823475240668537,0.5439642324888226,0.8050845614225896,0.556756200816676,0.763222894977913,0.6429235154700197,0.6919967931717995,0.556756200816676,0.7703809184763261,0.6611295681063123,0.7210144927536232,0.6715641261095806,0.7060222763614605,0.6611295681063123,0.8870790307410026,0.6359381905818191,0.8424201718077169,0.7252723629888478,0.7726774390298466,0.6359381905818191,0.2849999999999999
B: z0+eps+physics,safe_max(g<=0.65),bn-GB,youden,0.7991905354919053,0.6020864381520119,0.7702285361334157,0.6674842326559215,0.7097474356083137,0.6020864381520119,0.8063373232387316,0.6044981111935757,0.764634158458142,0.6719045720328594,0.7118435412308272,0.6044981111935757,0.7720042417815483,0.620199146514936,0.7194570135746606,0.6626377532883043,0.6935745387898623,0.620199146514936,0.8870790307410026,0.6359381905818191,0.8424201718077169,0.7252723629888478,0.7726774390298466,0.6359381905818191,0.3989310122869064
