combo,n_dim,holdout_gen,auc,acc,balacc,f1,threshold
z0,43,DC,0.9746427715231671,0.9167970787689097,0.9167970787689097,0.9184351828176937,0.37634047865867615
z0,43,Latte,0.5772545683319512,0.5700534759358289,0.5700534759358289,0.47174770039421815,0.9539617300033569
z0,43,OSora,0.8479591507299081,0.7663176265270506,0.7663176265270506,0.756146421416864,0.7588101029396057
z0,43,Pika,0.7298375957137251,0.6781857451403888,0.6781857451403888,0.6446740858505564,0.8610267043113708
z0,43,SEINE,0.9722637418320272,0.9151212553495007,0.9151212553495007,0.9149088308902396,0.4422949254512787
z0,43,SVD,0.9224006151647215,0.8494595985589295,0.8494595985589295,0.8482490272373541,0.6040964722633362
z0,43,VCraft,0.9247279185677446,0.8461267605633803,0.8461267605633802,0.8426925845932326,0.6070511341094971
z0,43,ZS,0.8052924503421339,0.7334830019243105,0.7334830019243104,0.7295802147738366,0.7616339325904846
eps,16,DC,0.8182542384273376,0.7402190923317684,0.7402190923317684,0.7300813008130081,0.502372145652771
eps,16,Latte,0.7992213103034116,0.7363636363636363,0.7363636363636363,0.7261111111111112,0.5205886363983154
eps,16,OSora,0.5704636507892997,0.5453752181500873,0.5453752181500873,0.5196385764337083,0.712831437587738
eps,16,Pika,0.4969214557867768,0.5323974082073434,0.5323974082073434,0.28192371475953565,0.8498018980026245
eps,16,SEINE,0.8340989588950776,0.7537446504992867,0.7537446504992867,0.7514846140003599,0.4816320240497589
eps,16,SVD,0.6656019245353088,0.6332990221307256,0.6332990221307258,0.6773828390310165,0.4647316038608551
eps,16,VCraft,0.7924609452489586,0.7269366197183098,0.7269366197183098,0.7506029908345393,0.41292858123779297
eps,16,ZS,0.5925267467632951,0.5779345734445157,0.5779345734445157,0.5136733185513673,0.7259502410888672
physics,25,DC,0.874696895606915,0.795774647887324,0.795774647887324,0.8018223234624146,0.4304392337799072
physics,25,Latte,0.6509757213531985,0.6294117647058823,0.6294117647058823,0.602865329512894,0.6807507872581482
physics,25,OSora,0.7298183224753221,0.6692844677137871,0.6692844677137871,0.6791941764008803,0.5786647796630859
physics,25,Pika,0.6369152670810093,0.6018718502519799,0.6018718502519798,0.604151753758053,0.6362053751945496
physics,25,SEINE,0.886017987346383,0.8020684736091298,0.8020684736091299,0.7984017435524882,0.46750423312187195
physics,25,SVD,0.8603170280953656,0.7835820895522388,0.7835820895522388,0.7861683193490974,0.4597497284412384
physics,25,VCraft,0.8823168766117834,0.8008802816901408,0.8008802816901408,0.7894246881400112,0.5046696662902832
physics,25,ZS,0.654525997117443,0.6132135984605517,0.6132135984605516,0.6391382405745063,0.594561755657196
csv,16,DC,0.9769617531305027,0.9194053208137715,0.9194053208137716,0.9195102891377963,0.36173054575920105
csv,16,Latte,0.9145740513025823,0.8355614973262032,0.8355614973262032,0.8241349728338576,0.717014491558075
csv,16,OSora,0.9571156979736789,0.8895287958115183,0.8895287958115183,0.8884581497797357,0.518467128276825
csv,16,Pika,0.9124878649016933,0.838012958963283,0.838012958963283,0.8240813135261923,0.747191846370697
csv,16,SEINE,0.8720933870708444,0.8434379457917262,0.843437945791726,0.8585695876288659,0.3092050552368164
csv,16,SVD,0.8908223007277135,0.7997941327843541,0.7997941327843541,0.8106134371957157,0.5661320090293884
csv,16,VCraft,0.9488357964689547,0.8739436619718309,0.873943661971831,0.8728693181818182,0.5509404540061951
csv,16,ZS,0.9133570680042347,0.8248877485567672,0.8248877485567672,0.8324125230202578,0.5399217009544373
z0+eps,59,DC,0.9791197774953203,0.9261867501304121,0.9261867501304122,0.9255067122927086,0.44536036252975464
z0+eps,59,Latte,0.6355815150561928,0.598663101604278,0.598663101604278,0.6291079812206573,0.8467893004417419
z0+eps,59,OSora,0.8392547109758809,0.7636998254799302,0.7636998254799302,0.7561239193083573,0.8058919906616211
z0+eps,59,Pika,0.731509686568487,0.6839452843772498,0.6839452843772498,0.6653963414634146,0.8689121007919312
z0+eps,59,SEINE,0.9749823718307451,0.9190442225392297,0.9190442225392297,0.9212352532963219,0.3540878891944885
z0+eps,59,SVD,0.9211845364371992,0.8430262480699948,0.8430262480699948,0.8433487416538265,0.6394462585449219
z0+eps,59,VCraft,0.9454110047609603,0.8746478873239436,0.8746478873239436,0.8733096085409253,0.5931623578071594
z0+eps,59,ZS,0.8117993927950887,0.7463117382937781,0.7463117382937781,0.7410801963993453,0.7868452072143555
z0+physics,68,DC,0.9758014459756471,0.9178403755868545,0.9178403755868545,0.9170834430113187,0.4480891525745392
z0+physics,68,Latte,0.6285490005433383,0.6205882352941177,0.6205882352941177,0.5364260045736687,0.9570243954658508
z0+physics,68,OSora,0.8628507381315692,0.7774869109947644,0.7774869109947644,0.7605633802816901,0.7992403507232666
z0+physics,68,Pika,0.7156230093385185,0.6583873290136789,0.6583873290136789,0.5949637217242851,0.9062845706939697
z0+physics,68,SEINE,0.9752212297085273,0.9149429386590585,0.9149429386590585,0.9152602593711139,0.41051778197288513
z0+physics,68,SVD,0.9307984718358975,0.8564076170869789,0.8564076170869789,0.8572159672466735,0.5390085577964783
z0+physics,68,VCraft,0.9599620610989882,0.8922535211267606,0.8922535211267606,0.8925184404636459,0.499421089887619
z0+physics,68,ZS,0.7933133400343388,0.7206542655548428,0.7206542655548429,0.7109193494855626,0.8118066191673279
z0+csv,59,DC,0.9973863156138866,0.9809598330725091,0.9809598330725091,0.9808449225924954,0.4187926650047302
z0+csv,59,Latte,0.9272478480940262,0.8475935828877005,0.8475935828877006,0.8434925864909391,0.9147580862045288
z0+csv,59,OSora,0.9861075932981859,0.9425828970331588,0.9425828970331589,0.9426129426129426,0.6468230485916138
z0+csv,59,Pika,0.9141604740735213,0.8426925845932326,0.8426925845932325,0.8341555977229601,0.92771977186203
z0+csv,59,SEINE,0.9642189500021368,0.9021041369472182,0.9021041369472182,0.9082093295435546,0.45516958832740784
z0+csv,59,SVD,0.9827304106298684,0.9351518270715389,0.9351518270715389,0.9352185089974293,0.6487414240837097
z0+csv,59,VCraft,0.9945666782384447,0.965669014084507,0.965669014084507,0.965675057208238,0.4884142279624939
z0+csv,59,ZS,0.9795826422835645,0.9246311738293778,0.9246311738293778,0.922671931556433,0.7578302025794983
eps+physics,41,DC,0.9138629765416044,0.8309859154929577,0.8309859154929577,0.8324715615305067,0.432654470205307
eps+physics,41,Latte,0.7836573822528525,0.7211229946524064,0.7211229946524065,0.7204502814258912,0.604621946811676
eps+physics,41,OSora,0.7368114299985685,0.6727748691099477,0.6727748691099477,0.6854554604932058,0.6626479029655457
eps+physics,41,Pika,0.6658850445312108,0.6295896328293736,0.6295896328293736,0.5714285714285714,0.8129439949989319
eps+physics,41,SEINE,0.9230349805962951,0.8432596291012838,0.8432596291012839,0.8348054876902837,0.5183144807815552
eps+physics,41,SVD,0.8364791302507464,0.7570766855378281,0.7570766855378281,0.756701030927835,0.5637769103050232
eps+physics,41,VCraft,0.9020825481055347,0.8214788732394366,0.8214788732394367,0.8191868758915835,0.49139419198036194
eps+physics,41,ZS,0.6795189923311477,0.6395125080179602,0.6395125080179602,0.616643929058663,0.7716280221939087
eps+csv,32,DC,0.9974320312804007,0.976264997391758,0.976264997391758,0.976221583485759,0.2862342596054077
eps+csv,32,Latte,0.9847093139637965,0.9368983957219251,0.9368983957219251,0.9359043997827268,0.5953965187072754
eps+csv,32,OSora,0.9629386377688233,0.8986038394415358,0.8986038394415358,0.8942290187511378,0.8032492399215698
eps+csv,32,Pika,0.9115828833045408,0.8387329013678906,0.8387329013678906,0.8374455732946299,0.8655117154121399
eps+csv,32,SEINE,0.9678261745499094,0.900320970042796,0.900320970042796,0.9035042292421889,0.5507968068122864
eps+csv,32,SVD,0.9680346912216915,0.9078744209984559,0.9078744209984559,0.906964656964657,0.6977151036262512
eps+csv,32,VCraft,0.9856452092838722,0.9441901408450705,0.9441901408450704,0.9434635277331906,0.5398941040039062
eps+csv,32,ZS,0.9830761894456282,0.9374599101988454,0.9374599101988454,0.9365853658536586,0.6212450265884399
physics+csv,41,DC,0.9915145736374623,0.9553990610328639,0.9553990610328638,0.9559618851403554,0.25845426321029663
physics+csv,41,Latte,0.92878663959507,0.8516042780748663,0.8516042780748663,0.8471495455797301,0.7648862600326538
physics+csv,41,OSora,0.964719290711451,0.9027923211169284,0.9027923211169284,0.9030461270670148,0.5426303148269653
physics+csv,41,Pika,0.9423164937301776,0.8718502519798416,0.8718502519798417,0.8699780861943024,0.6812237501144409
physics+csv,41,SEINE,0.9280702013223416,0.8666191155492154,0.8666191155492154,0.876117919841007,0.4143267273902893
physics+csv,41,SVD,0.9571617660186124,0.8834276891405044,0.8834276891405044,0.8854614412136536,0.5859842896461487
physics+csv,41,VCraft,0.9824184189644911,0.9297535211267606,0.9297535211267606,0.929217668972858,0.47532057762145996
physics+csv,41,ZS,0.9445932718667622,0.86337395766517,0.86337395766517,0.8690036900369004,0.6148982644081116
z0+eps+physics,84,DC,0.981304469332271,0.9248826291079812,0.9248826291079812,0.9251170046801872,0.4069400131702423
z0+eps+physics,84,Latte,0.6601976035917528,0.6181818181818182,0.6181818181818182,0.5534709193245778,0.9542595148086548
