lambda,k_latent,n_total,hf_DynamicCrafter,hf_SVD,hf_ZeroScope,hf_mean,dh_GVR_mean,dh_K400_mean,dk_DynamicCrafter,dk_SVD,dk_ZeroScope
0.0,10,35,0.8928010971643688,0.8485070808853513,0.811774294882371,0.8510274909773637,0.8742747877948296,0.7410806673473108,0.7960906486533585,0.7644442186266278,0.6627071347619461
0.0,15,40,0.9051906338569939,0.8611492827482357,0.8380431692327568,0.8681276952793288,0.8837115154036037,0.768316104037745,0.7996867810522768,0.7531269655884647,0.7521345654724935
0.0,20,45,0.9180309243083513,0.8783349190810502,0.807070699174361,0.8678121808545876,0.8829019208919721,0.7698328888082026,0.8145124932379975,0.7794598684817883,0.7155263047048217
0.0,25,50,0.9275280211879032,0.8979029950014584,0.8454984836334866,0.8903098332742827,0.8986404231008486,0.7941914330352162,0.841597287888078,0.8014631179900863,0.7395138932274845
0.0,44,69,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8803382423286289,0.7861765280046683,0.8569807431501172,0.8164030079840461,0.6851458328798421
0.3,10,35,0.8916274656400874,0.8355102620530825,0.8147128078763011,0.8472835118564904,0.8630795983406623,0.7649804343851893,0.834200180105493,0.7645090908431053,0.6962320322069695
0.3,15,40,0.9035987548546582,0.8618298052355637,0.8460029105349929,0.8704771568750717,0.8926956523464594,0.7642725217509264,0.8018457939251985,0.7740534723987998,0.7169182989287808
0.3,20,45,0.913524315471906,0.8790820277004417,0.8648259336320671,0.885810758934805,0.8931910013815293,0.7846577645497891,0.822360439508901,0.7778655090075979,0.7537473451328685
0.3,25,50,0.8979699053757648,0.8822970993798022,0.8642227608444584,0.8814965885333418,0.8863774998726354,0.7810291081533517,0.8074747228124965,0.7823868303049426,0.7532257713426157
0.3,44,69,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8803382423286289,0.7861765280046683,0.8569807431501172,0.8164030079840461,0.6851458328798421
0.5,10,35,0.8969154635473021,0.845414491036071,0.793816532612269,0.8453821623985474,0.8637805807002089,0.7540692248258932,0.826992281948551,0.7587050689017791,0.6765103236273492
0.5,15,40,0.9002815663073949,0.8402528440372576,0.8151341236570044,0.8518895113338857,0.8484740823665907,0.7698398871479594,0.8464611017885713,0.7613888733261096,0.7016696863291976
0.5,20,45,0.9081285824630164,0.8613188024881221,0.8481489877929512,0.8725321242480298,0.8732953988762596,0.7982712620996729,0.8611999108898531,0.7896073801899758,0.7440064952191896
0.5,25,50,0.8974268956966328,0.8805994584531551,0.8638047365932915,0.8806103635810265,0.8849588285682471,0.7797891074445141,0.8074354095123932,0.782907849470146,0.7490240633510028
0.5,44,69,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8803382423286289,0.7861765280046683,0.8569807431501172,0.8164030079840461,0.6851458328798421
0.7,10,35,0.8969154635473021,0.845414491036071,0.793816532612269,0.8453821623985474,0.8637805807002089,0.7540692248258932,0.826992281948551,0.7587050689017791,0.6765103236273492
0.7,15,40,0.9019288607786956,0.8603679647398942,0.8090785321917761,0.8571251192367887,0.8558340812415383,0.7658416132633188,0.8444740558658088,0.76658023842581,0.6864705454983376
0.7,20,45,0.9023195553140805,0.8487932790768351,0.8241162963215922,0.8584097102375026,0.8577354279684396,0.7794104876410332,0.8506775107002298,0.7720324533470094,0.71552149887586
0.7,25,50,0.8890950715834738,0.8632250595991698,0.8523728430709805,0.8682309914178746,0.8672708375127381,0.7930544191982646,0.8376533132490649,0.7965942993653183,0.7449156449804106
0.7,44,69,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8803382423286289,0.7861765280046683,0.8569807431501172,0.8164030079840461,0.6851458328798421
1.0,10,35,0.8969154635473021,0.845414491036071,0.793816532612269,0.8453821623985474,0.8637805807002089,0.7540692248258932,0.826992281948551,0.7587050689017791,0.6765103236273492
1.0,15,40,0.9015332129053031,0.8605286266915704,0.8094035707335298,0.8571551367768011,0.8664132160923321,0.767625548895052,0.8441103503642687,0.7710725260038918,0.6876937703169954
1.0,20,45,0.9052652435107402,0.86178307276673,0.8293453024319055,0.8654645395697921,0.87447813985473,0.7814491631919928,0.8500558547734507,0.7830967954712842,0.7111948393312435
1.0,25,50,0.8950827284843252,0.8668002461854241,0.8638096738875967,0.8752308828524487,0.8759858965935768,0.7974741695333291,0.8447593646694822,0.7950756997523287,0.7525874441781764
1.0,44,69,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8803382423286289,0.7861765280046683,0.8569807431501172,0.8164030079840461,0.6851458328798421
1.5,10,35,0.8871747243544795,0.8600820719893828,0.8017396556484089,0.8496654839974237,0.8555806721043079,0.7809921253899815,0.8266851324225982,0.7923499325306265,0.7239413112167199
1.5,15,40,0.9064961480057396,0.867300253057846,0.8163264802316907,0.8633742937650921,0.8780814994114743,0.7795451150276858,0.8426208131048012,0.7892215492800885,0.7067929826981677
1.5,20,45,0.9021347338896553,0.8629501627236782,0.8212119329466061,0.8620989431866466,0.8698009364697429,0.774057970276513,0.8452812429807941,0.7782678982105022,0.6986247696382427
1.5,25,50,0.8851234232518973,0.8660821544584455,0.8389750835328481,0.8633935537477303,0.8639720934010376,0.7766944682325848,0.8275601407278204,0.7838562086907449,0.718667055279189
1.5,44,69,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8803382423286289,0.7861765280046683,0.8569807431501172,0.8164030079840461,0.6851458328798421
2.0,10,35,0.8841274927286545,0.8549674629003758,0.7879329235653355,0.8423426263981219,0.8449672964398326,0.771680818509395,0.8254742367989503,0.7851207632601873,0.7044474554690474
2.0,15,40,0.8826962876279549,0.8636422919679715,0.8104070758010452,0.8522485517989905,0.8531050324270412,0.7778622317351166,0.8193383732524261,0.7942879332914008,0.7199603886615229
2.0,20,45,0.903696583280317,0.8654450045892507,0.8304031177367771,0.8665149018687816,0.8751094467801573,0.782505860431546,0.8471664421670319,0.7875341911738855,0.7128169479537205
2.0,25,50,0.8851234232518973,0.8660821544584455,0.8389750835328481,0.8633935537477303,0.8639720934010376,0.7766944682325848,0.8275601407278204,0.7838562086907449,0.718667055279189
2.0,44,69,0.9304114830758371,0.9127373467259019,0.8064761666517861,0.8832083321511751,0.8803382423286289,0.7861765280046683,0.8569807431501172,0.8164030079840461,0.6851458328798421
