holdout_gen,method,auc
ZeroScope,safe-bn/LogReg,0.8624918277493221
ZeroScope,"GB+safeLR(0.3,0.7)",0.8907216308212244
ZeroScope,"GB+safeLR(0.4,0.6)",0.8927179434852608
ZeroScope,"GB+safeLR(0.5,0.5)",0.8926245463346556
ZeroScope,"GB+safeLR(0.6,0.4)",0.8905912039633308
ZeroScope,"GB+safeLR(0.7,0.3)",0.8864294763053076
ZeroScope,"GB+softLR(0.3,0.7)",0.8730329510907511
ZeroScope,"GB+softLR(0.4,0.6)",0.8742355936952397
ZeroScope,"GB+softLR(0.5,0.5)",0.8746194683274628
ZeroScope,"GB+softLR(0.6,0.4)",0.8742578115196129
ZeroScope,"GB+softLR(0.7,0.3)",0.8728523284074221
ZeroScope,"GB+safeBnLR(0.3,0.7)",0.8714707088843731
ZeroScope,"GB+safeBnLR(0.4,0.6)",0.8728609686724561
ZeroScope,"GB+safeBnLR(0.5,0.5)",0.8736422954962413
ZeroScope,"GB+safeBnLR(0.6,0.4)",0.8733723900742281
ZeroScope,"GB+safeBnLR(0.7,0.3)",0.8722709620029945
ZeroScope,"3way(0.4,0.3,0.3)",0.8893540002987063
ZeroScope,"3way(0.5,0.2,0.2)",0.8877485567671585
ZeroScope,"3way(0.3,0.4,0.3)",0.890883738650909
ZeroScope,"3way(0.3,0.3,0.4)",0.8881587636356755
ZeroScope,"3way(0.5,0.3,0.2)",0.8895231026286567
ZeroScope,"3way(0.4,0.4,0.2)",0.892009030311284
ZeroScope,"dual(lg=0.3,lr=0.0)/GB",0.8610377945764646
ZeroScope,"dual(lg=0.3,lr=0.0)/LR",0.8618096582528314
ZeroScope,"dual(lg=0.0,lr=0.3)/GB",0.6338054072424347
ZeroScope,"dual(lg=0.0,lr=0.3)/LR",0.7643709208177312
ZeroScope,"dual(lg=0.3,lr=0.3)/GB",0.8314761563657564
ZeroScope,"dual(lg=0.3,lr=0.3)/LR",0.8233345580566152
ZeroScope,"dual(lg=0.5,lr=0.2)/GB",0.8610661840187189
ZeroScope,"dual(lg=0.5,lr=0.2)/LR",0.8550961723214457
ZeroScope,"dual(lg=0.2,lr=0.5)/GB",0.833596724269805
ZeroScope,"dual(lg=0.2,lr=0.5)/LR",0.8344632194203534
ZeroScope,"dual(lg=0.4,lr=0.1)/GB",0.8610661840187189
ZeroScope,"dual(lg=0.4,lr=0.1)/LR",0.8550961723214457
ZeroScope,"dual(lg=0.1,lr=0.4)/GB",0.6431533511267934
ZeroScope,"dual(lg=0.1,lr=0.4)/LR",0.803091239964435
ZeroScope,"dual(lg=0.3,lr=0.5)/GB",0.8320513511523028
ZeroScope,"dual(lg=0.3,lr=0.5)/LR",0.8344632194203534
ZeroScope,"dual(lg=0.5,lr=0.3)/GB",0.8436416495335697
ZeroScope,"dual(lg=0.5,lr=0.3)/LR",0.8481489877929512
ZeroScope,"dual(lg=0.4,lr=0.4)/GB",0.8439350071035321
ZeroScope,"dual(lg=0.4,lr=0.4)/LR",0.8323817384295537
