protocol,config,generator,auc,dim
per_gen,z0+eps,ZS,0.9975918931792145,59
per_gen,z0+eps+physics,DC,0.9975208293926374,84
per_gen,z0+eps+physics,Latte,0.9879048592900821,84
per_gen,z0+eps+physics,OSora,0.9856456656115551,84
per_gen,z0+eps+physics,Pika,0.9902477023974358,84
per_gen,z0+eps+physics,SEINE,0.9978657506933722,84
per_gen,z0+eps+physics,SVD,0.9957265822856779,84
per_gen,z0+eps+physics,VCraft,0.999188835103015,84
per_gen,z0+eps+physics,ZS,0.9977446131889887,84
per_gen,all_combined,DC,0.9997823835130291,100
per_gen,all_combined,Latte,0.9983182831864877,100
per_gen,all_combined,OSora,0.9978163046044295,100
per_gen,all_combined,Pika,0.997202486612326,100
per_gen,all_combined,SEINE,0.9997415942379211,100
per_gen,all_combined,SVD,0.999130462901468,100
per_gen,all_combined,VCraft,0.9999083305856825,100
per_gen,all_combined,ZS,0.9992917332880044,100
holdout,z0,DC,0.9746427715231671,43
holdout,z0,Latte,0.5772545683319512,43
holdout,z0,OSora,0.8479591507299081,43
holdout,z0,Pika,0.7298375957137251,43
holdout,z0,SEINE,0.9722637418320272,43
holdout,z0,SVD,0.9224006151647215,43
holdout,z0,VCraft,0.9247279185677446,43
holdout,z0,ZS,0.8052924503421339,43
holdout,eps,DC,0.8182542384273376,16
holdout,eps,Latte,0.7992213103034116,16
holdout,eps,OSora,0.5704636507892997,16
holdout,eps,Pika,0.4969214557867768,16
holdout,eps,SEINE,0.8340989588950776,16
holdout,eps,SVD,0.6656019245353088,16
holdout,eps,VCraft,0.7924609452489586,16
holdout,eps,ZS,0.5925267467632951,16
holdout,physics,DC,0.874696895606915,25
holdout,physics,Latte,0.6509757213531985,25
holdout,physics,OSora,0.7298183224753221,25
holdout,physics,Pika,0.6369152670810093,25
holdout,physics,SEINE,0.886017987346383,25
holdout,physics,SVD,0.8603170280953656,25
holdout,physics,VCraft,0.8823168766117834,25
holdout,physics,ZS,0.654525997117443,25
holdout,csv,DC,0.9769617531305027,16
holdout,csv,Latte,0.9145740513025823,16
holdout,csv,OSora,0.9571156979736789,16
holdout,csv,Pika,0.9124878649016933,16
holdout,csv,SEINE,0.8720933870708444,16
holdout,csv,SVD,0.8908223007277135,16
holdout,csv,VCraft,0.9488357964689547,16
holdout,csv,ZS,0.9133570680042347,16
holdout,z0+physics,DC,0.9750607433312952,68
holdout,z0+physics,Latte,0.6190385770253654,68
holdout,z0+physics,OSora,0.8641588163092508,68
holdout,z0+physics,Pika,0.7240536955747644,68
holdout,z0+physics,SEINE,0.9756937307819886,68
holdout,z0+physics,SVD,0.9368280079009358,68
holdout,z0+physics,VCraft,0.9556543840507836,68
holdout,z0+physics,ZS,0.8001710361035532,68
holdout,z0+eps,DC,0.9807420033639112,59
holdout,z0+eps,Latte,0.6464397037375962,59
holdout,z0+eps,OSora,0.8270599307402027,59
holdout,z0+eps,Pika,0.7074325630623417,59
holdout,z0+eps,SEINE,0.9759433995860813,59
holdout,z0+eps,SVD,0.914075336487739,59
holdout,z0+eps,VCraft,0.9386420725054554,59
holdout,z0+eps,ZS,0.8225773005425674,59
holdout,z0+eps+physics,DC,0.9806976482827101,84
holdout,z0+eps+physics,Latte,0.6670004861448713,84
holdout,z0+eps+physics,OSora,0.84935561586092,84
holdout,z0+eps+physics,Pika,0.7449035178697584,84
holdout,z0+eps+physics,SEINE,0.9802816335335092,84
holdout,z0+eps+physics,SVD,0.9302702947540679,84
holdout,z0+eps+physics,VCraft,0.9582060851021622,84
holdout,z0+eps+physics,ZS,0.8292973695330266,84
holdout,all_combined,DC,0.9994326359245136,100
holdout,all_combined,Latte,0.9559977408561869,100
holdout,all_combined,OSora,0.9857711015475331,100
holdout,all_combined,Pika,0.943060797036885,100
holdout,all_combined,SEINE,0.9791606040687748,100
holdout,all_combined,SVD,0.9896337963403208,100
holdout,all_combined,VCraft,0.9963111237849632,100
holdout,all_combined,ZS,0.9868544539126205,100
