holdout_gen,method,auc,acc,f1,TP,TN,FP,FN,config
ZeroScope,dh-GenVideo-Real-early-fusion,0.7684935532952981,,,,,,,baseline
ZeroScope,dh-GenVideo-Real-branch-norm,0.7860546986570334,,,,,,,baseline
ZeroScope,dh-GenVideo-Real-late-avg,0.7411785175973945,,,,,,,baseline
ZeroScope,dh-GenVideo-Real-late-w0.4,0.7416903781945544,,,,,,,baseline
ZeroScope,dh-GenVideo-Real-late-w0.5,0.7411785175973945,,,,,,,baseline
ZeroScope,dh-GenVideo-Real-late-w0.6,0.7361116960836911,,,,,,,baseline
DynamicCrafter,dh-Kinetics-400-early-fusion,0.8673806053926353,,,,,,,baseline
DynamicCrafter,dh-Kinetics-400-branch-norm,0.8569807431501172,,,,,,,baseline
DynamicCrafter,dh-Kinetics-400-late-avg,0.8667099802674821,,,,,,,baseline
DynamicCrafter,dh-Kinetics-400-late-w0.4,0.8613707283283135,,,,,,,baseline
DynamicCrafter,dh-Kinetics-400-late-w0.5,0.8667099802674821,,,,,,,baseline
DynamicCrafter,dh-Kinetics-400-late-w0.6,0.8648321379561177,,,,,,,baseline
SVD,dh-Kinetics-400-early-fusion,0.8287593506155034,,,,,,,baseline
SVD,dh-Kinetics-400-branch-norm,0.8164030079840461,,,,,,,baseline
SVD,dh-Kinetics-400-late-avg,0.8094864048475423,,,,,,,baseline
SVD,dh-Kinetics-400-late-w0.4,0.8082272941004616,,,,,,,baseline
SVD,dh-Kinetics-400-late-w0.5,0.8094864048475423,,,,,,,baseline
SVD,dh-Kinetics-400-late-w0.6,0.8062400721125002,,,,,,,baseline
ZeroScope,dh-Kinetics-400-early-fusion,0.7019337242262687,,,,,,,baseline
ZeroScope,dh-Kinetics-400-branch-norm,0.6851458328798421,,,,,,,baseline
ZeroScope,dh-Kinetics-400-late-avg,0.6871888755801978,,,,,,,baseline
ZeroScope,dh-Kinetics-400-late-w0.4,0.6793706399470114,,,,,,,baseline
ZeroScope,dh-Kinetics-400-late-w0.5,0.6871888755801978,,,,,,,baseline
