generator,acc,f1,auc,precision,recall
DynamicCrafter,0.9330783938814532,0.9537037037037037,0.9732712181178541,0.9562334217506632,0.9511873350923483
SVD,0.9076190476190477,0.9358889623265036,0.9592203708389055,0.937748344370861,0.9340369393139841
ZeroScope,0.9697885196374623,0.9800531914893617,0.9920104050538834,0.9892617449664429,0.9710144927536232
