auc,acc,bacc,f1,TP,TN,FP,FN,FPR,FNR,threshold,config,holdout_gen,method
0.9304114830758371,0.8561910049972238,0.8568488411510938,0.8494186046511628,1461,1623,294,224,0.15336463223787167,0.13293768545994064,0.5,baseline,DynamicCrafter,default-0.5
0.9304114830758371,0.8420322043309273,0.8456655970552405,0.8423385979495706,1520,1513,404,165,0.21074595722483047,0.09792284866468842,0.41000000000000003,baseline,DynamicCrafter,optimal-thresh
0.9304114830758371,0.8548028872848418,0.8559397488348046,0.8491491202768965,1472,1607,310,213,0.16171100678142933,0.12640949554896141,0.5,baseline,DynamicCrafter,platt-0.5
0.9304114830758371,0.8420322043309273,0.8456655970552405,0.8423385979495706,1520,1513,404,165,0.21074595722483047,0.09792284866468842,0.37,baseline,DynamicCrafter,platt-optimal
0.9295434105899272,0.8414769572459745,0.8451798603468266,0.8419595903681152,1521,1510,407,164,0.21231090245174752,0.0973293768545994,0.5,baseline,DynamicCrafter,isotonic-0.5
0.9304114830758371,0.8139922265408107,0.8213334076334035,0.8246991104133962,1576,1356,561,109,0.29264475743348983,0.06468842729970327,0.3,baseline,DynamicCrafter,thresh-0.3
0.9304114830758371,0.8400888395335925,0.8439834744260706,0.8410596026490066,1524,1502,415,161,0.21648408972352634,0.09554896142433235,0.4,baseline,DynamicCrafter,thresh-0.4
0.9304114830758371,0.8561910049972238,0.8568488411510938,0.8494186046511628,1461,1623,294,224,0.15336463223787167,0.13293768545994064,0.5,baseline,DynamicCrafter,thresh-0.5
0.9304114830758371,0.8511937812326485,0.8489937758212093,0.8366849482023156,1373,1693,224,312,0.11684924360980699,0.18516320474777448,0.6,baseline,DynamicCrafter,thresh-0.6
0.9304114830758371,0.8425874514158801,0.8367783799179294,0.8160882257541355,1258,1777,140,427,0.07303077725612937,0.2534124629080119,0.7,baseline,DynamicCrafter,thresh-0.7
0.9127373467259019,0.8326901874310915,0.8346570126956541,0.8272132080842585,1453,1568,375,232,0.1930005146680391,0.13768545994065282,0.5,baseline,SVD,default-0.5
0.9127373467259019,0.8241455347298787,0.829477191958961,0.8269126424308193,1524,1466,477,161,0.24549665465774576,0.09554896142433235,0.4,baseline,SVD,optimal-thresh
0.9127373467259019,0.8324145534729879,0.8345572862180451,0.8273708120386144,1457,1563,380,228,0.19557385486361298,0.13531157270029673,0.5,baseline,SVD,platt-0.5
0.9127373467259019,0.8241455347298787,0.829477191958961,0.8269126424308193,1524,1466,477,161,0.24549665465774576,0.09554896142433235,0.33999999999999997,baseline,SVD,platt-optimal
0.9106780636874973,0.8249724366041896,0.8302491940176331,0.8275862068965517,1524,1469,474,161,0.24395265054040144,0.09554896142433235,0.5,baseline,SVD,isotonic-0.5
0.9127373467259019,0.7954796030871003,0.804645146313862,0.809156378600823,1573,1313,630,112,0.3242408646423057,0.06646884272997032,0.3,baseline,SVD,thresh-0.3
0.9127373467259019,0.8241455347298787,0.829477191958961,0.8269126424308193,1524,1466,477,161,0.24549665465774576,0.09554896142433235,0.4,baseline,SVD,thresh-0.4
0.9127373467259019,0.8326901874310915,0.8346570126956541,0.8272132080842585,1453,1568,375,232,0.1930005146680391,0.13768545994065282,0.5,baseline,SVD,thresh-0.5
